Name,Author,Goodreads Rating,Year Published,
"Unbroken: A World War II Story of Survival,Resilience,and Redemption",Laura Hillenbrand,[4.39](https://www.goodreads.com/book/show/8664353-unbroken),2010,
Long Walk to Freedom,Nelson Mandela,[4.31](http://www.goodreads.com/book/show/318431.Long_Walk_to_Freedom),1995,
My Life and My Work,Henry Ford,[4.29](http://www.goodreads.com/book/show/1122054.My_Life_And_Work),,
"Surely You're Joking,Mr. Feynman!: Adventures of a Curious Character",Richard Feynman,[4.29](https://www.goodreads.com/book/show/5544.Surely_You_re_Joking_Mr_Feynman_),1997,
The Autobiography of Malcolm X,"Malcolm X,Alex Haley",[4.29](http://www.goodreads.com/book/show/92057.The_Autobiography_of_Malcolm_X),,
Elon Musk: Inventing the Future,Ashlee Vance,[4.25](https://www.goodreads.com/book/show/22543496-elon-musk),2015,
The Last Lecture,Randy Pausch,[4.25](http://www.goodreads.com/book/show/2318271.The_Last_Lecture),2008,
Freedom in Exile,Dalai Lama XIV,[4.24](http://www.goodreads.com/book/show/567720.Freedom_in_Exile),1991,
Madame Curie: A Biography,Marie Curie,[4.22](https://www.goodreads.com/book/show/341166.Madame_Curie),2001,
Wings of Fire,A.P.J. Abdul Kalam,[4.20](http://www.goodreads.com/book/show/634583.Wings_of_Fire),2011,
The Man Who Knew Infinity : A Life of the Genius Ramanujan,Robert Kanigel,[4.15](https://www.goodreads.com/book/show/106139.The_Man_Who_Knew_Infinity),1991,
"An Astronaut's Guide to Life on Earth",Chris Hadfield,[4.14](https://www.goodreads.com/book/show/18170143-an-astronaut-s-guide-to-life-on-earth),2013,
The Diary of a Young Girl,Anne Frank,[4.10](http://www.goodreads.com/book/show/48855.The_Diary_of_a_Young_Girl),1993,
Steve Jobs,Walter Issacson,[4.09](http://www.goodreads.com/book/show/11084145-steve-jobs),2011,
My Experiments with Truth,Mahatma Gandhi,[4.07](http://www.goodreads.com/book/show/112803.The_Story_of_My_Experiments_With_Truth),1993,
The Story of My Life,Helen Keller,[4.07](http://www.goodreads.com/book/show/821611.The_Story_of_My_Life),1990,
The Immortal Life of Henrietta Lacks,Rebecca Skloot,[4.05](https://www.goodreads.com/book/show/6493208-the-immortal-life-of-henrietta-lacks?ac=1&from_search=true),2010,
Losing My Virginity: The Autobiography,Richard Branson,[3.97](https://www.goodreads.com/book/show/9533705-losing-my-virginity),1999,
"Ghost in the Wires:	My Adventures as the World's Most Wanted Hacker",Kevin Mitnick,[3.95](http://www.goodreads.com/book/show/10256723-ghost-in-the-wires),2011,
An Autobiography: Toward Freedom,Jawaharlal Nehru,[3.85](http://www.goodreads.com/book/show/322939.An_Autobiography),1989,
"iWoz: Computer Geek to Cult Icon: How I Invented the Personal Computer,Co-Founded Apple,and Had Fun Doing It",Steve Wozniak,[3.82](http://www.goodreads.com/book/show/798635.iWoz),2007,
