Name,Author,Goodreads Rating,Year Published,
Origin of Wealth,Eric D. Beinhocker,[4.23](https://www.goodreads.com/book/show/22456.The_Origin_of_Wealth),2006,
Every Shot Counts: Using the Revolutionary Strokes Gained Approach to Improve Your Golf Performance and Strategy,Mark Broadie,[4.23](https://www.goodreads.com/book/show/17674971-every-shot-counts),2014,
Economic Facts and Fallacies,Thomas Sowell,[4.18](https://www.goodreads.com/book/show/2064279.Economic_Facts_and_Fallacies),2008,
"Debt - Updated and Expanded: The First 5,000 Years",David Graeber,[4.17](https://www.goodreads.com/book/show/6617037-debt),2011,
Capital in the Twenty-First Century,Thomas Piketty,[4.01](http://www.goodreads.com/book/show/18736925-capital-in-the-twenty-first-century),2014,
"23 Things They Don't Tell You About Capitalism",Ha-Joon Chang,[3.97](http://www.goodreads.com/book/show/8913542-23-things-they-don-t-tell-you-about-capitalism),,
"The Signal and the Noise: Why So Many Predictions Fail--but Some Don't",Nate Silver,[3.96](https://www.goodreads.com/book/show/13588394-the-signal-and-the-noise),,
Currency Wars: The Making of the Next Global Crisis,James Rickards,[3.96](https://www.goodreads.com/book/show/11515298-currency-wars),2011,
The Ascent of Money: A Financial History of the World,Niall Ferguson,[3.88](https://www.goodreads.com/book/show/2714607-the-ascent-of-money),,
The Bottom Billion: Why the Poorest Countries are Failing and What Can Be Done About It,Paul Collier,[3.85](https://www.goodreads.com/book/show/493371.The_Bottom_Billion),2007,
The Thank You Economy,Gary Vaynerchuk,[3.83](https://www.goodreads.com/book/show/9203287-the-thank-you-economy),2011,
Super Crunchers: Why Thinking-By-Numbers is the New Way To Be Smart,Ian Ayres,[3.70](https://www.goodreads.com/book/show/1081413.Super_Crunchers),,
A Farewell to Alms : A Brief Economic History of the World,Gregory Clark,[3.67](https://www.goodreads.com/book/show/150437.A_Farewell_to_Alms),2007,
