Name,Author,Goodreads Rating,Year Published,
The Kingkiller Chronicle,Patrick Rothfuss,[4.55](https://www.goodreads.com/series/45262-the-kingkiller-chronicle),2007,
The Lord of the Rings,J.R.R. Tolkien,[4.47](https://www.goodreads.com/series/66175-the-lord-of-the-rings),1954,
A Song of Ice and Fire,George R.R. Martin,[4.45](https://www.goodreads.com/series/43790-a-song-of-ice-and-fire),2005,
Harry Potter,J.K. Rowling,[4.44](https://www.goodreads.com/series/45175-harry-potter),1997,
Mistborn,Brandon Sanderson,[4.43](https://www.goodreads.com/series/40910-mistborn),2006,
Harry Potter and the Methods of Rationality,Eliezer Yudkowsky,[4.38](https://www.goodreads.com/book/show/10016013-harry-potter-and-the-methods-of-rationality),2015,
Discworld,Terry Pratchett,[4.32](https://www.goodreads.com/series/40650-discworld),2001,
The Dark Tower,Stephen King,[4.27](https://www.goodreads.com/series/40750-the-dark-tower),,
His Dark Materials,Philip Pullman,[4.25](https://www.goodreads.com/book/show/18116.His_Dark_Materials),,
The Last Wish - Saga,Andrzej Sapkowski,[4.2](https://www.goodreads.com/book/show/1128434.The_Last_Wish),1993,
The Chronicles of Narnia,Clive Staples Lewis,[4.24](https://www.goodreads.com/book/show/11127.The_Chronicles_of_Narnia),2002,
The City & The City,China Mieville,[3.91](https://www.goodreads.com/book/show/4703581-the-city-the-city),2009,
The Broken Empire,Mark Lawrence,[3.87](https://www.goodreads.com/series/64473-the-broken-empire),2011,
