Name,Author,Goodreads Rating,Year Published,
Sapiens: A Brief History of Humankind,Yuval Noah Harari,[4.42](https://www.goodreads.com/book/show/23692271-sapiens),2014,
The Discoverers,Daniel J. Boorstin,[4.34](https://www.goodreads.com/book/show/714380.The_Discoverers),2012,
"One Minute to Midnight: Kennedy,Khrushchev,and Castro on the Brink of Nuclear War",Michael Dobbs,[4.20](https://www.goodreads.com/book/show/2606779-one-minute-to-midnight),2008,
The Codebreakers: The Comprehensive History of Secret Communication from Ancient Times to the Internet,David Kahn,[4.18](https://www.goodreads.com/book/show/29608.The_Codebreakers),1996,
From Dawn to Decadence: 500 Years of Western Cultural Life 1500 to the Present,Jacques Barzun,[4.12](https://www.goodreads.com/book/show/58233.From_Dawn_to_Decadence),2001,
"Why the West Rules--for Now: The Patterns of History,and What They Reveal About the Future",Ian Morris,[4.09](https://www.goodreads.com/book/show/9491855-why-the-west-rules-for-now),2010,
The Nazi Doctors: Medical Killing and the Psychology of Genocide,Robert Jay Lifton,[4.07](https://www.goodreads.com/book/show/173187.The_Nazi_Doctors),1986,
God Created The Integers: The Mathematical Breakthroughs that Changed History,Stephen Hawking,[4.06](https://www.goodreads.com/book/show/2096.God_Created_The_Integers),,
"Churchill's Secret War: The British Empire and the Ravaging of India during World War II",Madhusree Mukerjee,[4.05](https://www.goodreads.com/book/show/8890989-churchill-s-secret-war),2010,
El Tiempo Entre Costuras,María Dueñas,[4.04](https://www.goodreads.com/book/show/7502166-el-tiempo-entre-costuras),2009,
"Guns,Germs,And Steel : The Fates Of Human Societies",Jared M. Diamond,[4.00](https://www.goodreads.com/book/show/1842.Guns_Germs_and_Steel),2005,
Discovery of India,Jawaharlal Nehru,[3.98](http://www.goodreads.com/book/show/154126.The_Discovery_of_India),,
The Rational Optimist: How Prosperity Evolves (P.S.),Matt Ridley,[3.98](https://www.goodreads.com/book/show/7776209-the-rational-optimist),2010,
Kingpin: How One Hacker Took Over the Billion-Dollar Cybercrime Underground,Kevin Poulson,[3.96](http://www.goodreads.com/book/show/9319468-kingpin),2011,
"The Ghost Map: The Story of London's Most Terrifying Epidemic--and How It Changed Science,Cities,and the Modern World",Steven Johnson,[3.91](https://www.goodreads.com/book/show/36086.The_Ghost_Map),,
The Rise and Fall of the British Empire,Lawrence James,[3.89](https://www.goodreads.com/book/show/143980.The_Rise_and_Fall_of_the_British_Empire),1997,
The Master Switch: The Rise and Fall of Information Empires,Tim Wu,[3.89](https://www.goodreads.com/book/show/8201080-the-master-switch),2010,
Spycraft,"Robert Wallace,H. Keith Melton,Henry R. Schlesinger",[3.81](http://www.goodreads.com/book/show/971936.Spycraft),,
Civilization: The West and the Rest: Niall Ferguson,Niall Ferguson,[3.78](https://www.goodreads.com/book/show/10475421-civilization),2011,
The Revenge of Geography: What the Map Tells Us About Coming Conflicts and the Battle Against Fate,Robert D. Kaplan,[3.68](https://www.goodreads.com/book/show/13330422-the-revenge-of-geography),2012,
The World Is Flat: A Brief History of the Twenty-first Century,Thomas L. Friedman,[3.66](https://www.goodreads.com/book/show/1911.The_World_Is_Flat),2006,
