Name,Author,Goodreads Rating,Year Published,
"Asimov's New Guide to Science",Isaac Asimov,[4.36](https://www.goodreads.com/book/show/977262.Asimov_s_New_Guide_To_Science),1985,
Origins of Form: The Shape of Natural and Man-Made Things,Christopher Williams,[4.31](https://www.goodreads.com/book/show/16255011-origins-of-form),2013,
"Gödel,Escher,Bach: An Eternal Golden Braid",Douglas R. Hofstadter,[4.30](https://www.goodreads.com/book/show/24113.G_del_Escher_Bach),1979,
The Little Schemer,"Daniel P. Friedman,Matthias Felleisen,Duane Bibby,Gerald J. Sussman",[4.27](https://www.goodreads.com/book/show/548914.The_Little_Schemer),1995,
Scientific Genius: A Psychology of Science,Dean Keith Simonton,[4.25](https://www.goodreads.com/book/show/1752295.Scientific_Genius),1988,
"Out of Control: The New Biology of Machines,Social Systems,and the Economic World",Kevin Kelly,[4.24](https://www.goodreads.com/book/show/16080353-out-of-control),1995,
The Brain: The Story of You,David Eagleman,[4.20](https://www.goodreads.com/book/show/25776132.the-brain),2015,
A Short History of Nearly Everything,Bill Bryson,[4.19](https://www.goodreads.com/book/show/21.A_Short_History_of_Nearly_Everything),,
The Symbolic Species: The Co-evolution of Language and the Brain,Terrence W. Deacon,[4.17](https://www.goodreads.com/book/show/733691.The_Symbolic_Species),1998,
A Brief History of Time,Stephen Hawking,[4.12](https://www.goodreads.com/book/show/3869.A_Brief_History_of_Time),1998,
The Selfish Gene,Richard Dawkins,[4.11](http://www.goodreads.com/book/show/61535.The_Selfish_Gene),,
Figments of Reality: The Evolution of the Curious Mind,"Ian Stewart,Jack Cohen",[4.11](https://www.goodreads.com/book/show/164560.Figments_of_Reality),2009,
The New Executive Brain: Frontal Lobes in a Complex World,Elkhonon Goldberg,[4.07](https://www.goodreads.com/book/show/6745893-the-new-executive-brain),,
The Extended Phenotype: The Long Reach of the Gene,Richard Dawkins,[4.07](https://www.goodreads.com/book/show/61538.The_Extended_Phenotype),1999,
Rare Earth: Why Complex Life is Uncommon in the Universe,"Peter D. Ward,Donald Brownlee",[4.06](https://www.goodreads.com/book/show/88552.Rare_Earth),2003,
Stiff: The Curious Lives of Human Cadavers,Mary Roach,[4.05](https://www.goodreads.com/book/show/32145.Stiff),2004,
"Darwin's Dangerous Idea",Daniel C. Dennett,[4.03](https://www.goodreads.com/book/show/2068.Darwin_s_Dangerous_Idea),,
The Inevitable: Understanding the 12 Technological Forces That Will Shape Our Future,Kevin Kelly,[4.02](https://www.goodreads.com/book/show/27209431-the-inevitable),2016,
"The Outer Limits of Reason: What Science,Mathematics,and Logic Cannot Tell Us",Noson S. Yanofsky,[4.00](http://www.goodreads.com/book/show/17841838-the-outer-limits-of-reason),2013,
The Structure of Scientific Revolutions: 50th Anniversary Edition,Thomas S. Kuhn,[3.99](https://www.goodreads.com/book/show/61539.The_Structure_of_Scientific_Revolutions),1996,
At Home in the Universe: The Search for the Laws of Self-Organization and Complexity,Stuart Kauffman,[3.97](https://www.goodreads.com/book/show/319006.At_Home_in_the_Universe),1996,
The Wealth of Networks: How Social Production Transforms Markets and Freedom,Yochai Benkler,[3.95](https://www.goodreads.com/book/show/14721.The_Wealth_of_Networks),2006,
Mind Children: The Future of Robot and Human Intelligence,Hans Moravec.,[3.95](https://www.goodreads.com/book/show/648195.Mind_Children),1990,
How to Find a Habitable Planet,James Kasting,[3.93](https://www.goodreads.com/book/show/7551498-how-to-find-a-habitable-planet),2010,
"The 10,000 Year Explosion: How Civilization Accelerated Human Evolution","Gregory Cochran,Henry Harpending",[3.91](https://www.goodreads.com/book/show/6033964-the-10-000-year-explosion),,
"Evolution for Everyone: How Darwin's Theory Can Change the Way We Think About Our Lives",David Sloan Wilson,[3.90](http://www.goodreads.com/book/show/159062.Evolution_for_Everyone),2007,
Life at the Speed of Light: From the Double Helix to the Dawn of Digital Life,J. Craig Venter,[3.87](www.goodreads.com/book/show/17674969-life-at-the-speed-of-light),2013,
The Shallows: What the Internet is Doing to Our Brains,Nicholas Carr,[3.85](https://www.goodreads.com/book/show/9778945-the-shallows),2011,
Catching Fire: How Cooking Made Us Human,Richard Wrangham,[3.83](https://www.goodreads.com/book/show/11148989-catching-fire),2009,
Heaven in a Chip: Fuzzy Visions of Society and Science in the Digital Age,Bart Kosko,[3.82](https://www.goodreads.com/book/show/172645.Heaven_in_a_Chip),2000,
The Quark and the Jaguar: Adventures in the Simple and the Complex,Murray Gell-Mann,[3.81](https://www.goodreads.com/book/show/270881.The_Quark_and_the_Jaguar),,
Tomorrowland: Our Staggering Journey from Science Fiction to Science Fact,Steven Kotler,[3.80](http://www.goodreads.com/book/show/25060233-tomorrowland),2015,
Origins of Genius: Darwinian Perspectives on Creativity,Dean Keith,[3.74](https://www.goodreads.com/book/show/254489.Origins_of_Genius),1999,
Mind Wars: Brain Research and National Defense,Jonathan D. Moreno,[3.45](http://www.goodreads.com/book/show/599321.Mind_Wars),2007,
