Name,Author,Goodreads Rating,Year Published, 
Shoe Dog: A Memoir by the Creator of Nike,Phil Knight,[4.46](https://www.goodreads.com/book/show/27220736-shoe-dog),2016, 
The Compound Effect,Darren Hardy,[4.40](https://www.goodreads.com/book/show/9420697-the-compound-effect),2010, 
High Output Management,Andy Grove,[4.38](https://www.goodreads.com/book/show/324750.High_Output_Management),1995, 
How to Get From Where You Are to Where You Want to Be : The 25 Principles of Success,"Jack Canfield,Janet Switzer",[4.26](https://www.goodreads.com/book/show/96593.The_Success_Principles),2007, 
The Big Short: Inside the Doomsday Machine,Michael Lewis,[4.26](https://www.goodreads.com/book/show/8032112-the-big-short),2015, 
The Score Takes Care of Itself: My Philosophy of Leadership,"Bill Walsh,Steve Jamison,Craig Walsh",[4.21](https://www.goodreads.com/book/show/6342995-the-score-takes-care-of-itself),2009, 
The Hard Thing About Hard Things: Building a Business When There Are No Easy Answers,Ben Horowitz,[4.20](https://www.goodreads.com/book/show/18176747-the-hard-thing-about-hard-things),2014, 
Outliers: Story of Success,Malcolm Gladwell,[4.11](https://www.goodreads.com/book/show/3228917-outliers),2008, 
The Strategy and Tactics of Pricing : A Guide to Move More Profitable,"Thomas Nagle,John Hogan,Joseph Zale",[4.09](https://www.goodreads.com/book/show/99919.The_Strategy_and_Tactics_of_Pricing),2005, 
Start with Why: How Great Leaders Inspire Everyone to Take Action,Simon Sinek,[4.07](https://www.goodreads.com/book/show/7108725-start-with-why),2009, 
"Leaving Microsoft to Change the World: An Entrepreneur's Odyssey to Educate the World's Children",John Wood,[4.07](https://www.goodreads.com/book/show/95429.Leaving_Microsoft_to_Change_the_World),2006, 
Hackers and Painters,Paul Graham,[4.06](https://www.goodreads.com/book/show/41793.Hackers_Painters),2004, 
"Good to Great: Why Some Companies Make the Leap And Others Don't",Jim Collins,[4.05](https://www.goodreads.com/book/show/76865.Good_to_Great),2001, 
The Lean Startup: How Constant Innovation Creates Radically Successful Businesses,Eric Ries,[4.04](https://www.goodreads.com/book/show/10127019-the-lean-startup),2011, 
"The Power of Full Engagement: Managing Energy,Not Time,is the Key to High Performance and Personal Renewal","Jim Loehr,Tony Schwartz",[4.03](http://www.goodreads.com/book/show/68985.The_Power_of_Full_Engagement),2005, 
The Checklist Manifesto: How To Get Things Right,Atul Gawande,[4.03](http://www.goodreads.com/book/show/6667514-the-checklist-manifesto),2009, 
Where Good Ideas Come From,Steven Johnson,[4.03](https://www.goodreads.com/book/show/8034188-where-good-ideas-come-from),2010, 
"Delivering Happiness: A Path to Profits,Passion,and Purpose",Tony Hsieh,[4.01](http://www.goodreads.com/book/show/6828896-delivering-happiness),2010, 
"The Innovator's Dilemma",clayton m. christensen,[4.00](https://www.goodreads.com/book/show/2615.The_Innovator_s_Dilemma),1997, 
Influencer: The New Science of Leading Change,"Joseph Grenny,Kerry Patterson",[3.98](https://www.goodreads.com/book/show/914211.Influencer),2007, 
"The E-Myth Revisited: Why Most Small Businesses Don't Work and What to Do About It",Michael E. Gerber,[3.98](https://www.goodreads.com/book/show/81948.The_E_Myth_Revisited),1995, 
Getting Things Done: The Art of Stress-Free Productivity,David Allen,[3.98](https://www.goodreads.com/book/show/1633.Getting_Things_Done),2001, 
"Losing My Virginity: How I Survived,Had Fun,and Made a Fortune Doing Business My Way",Richard Branson,[3.97](https://www.goodreads.com/book/show/211099.Losing_My_Virginity),1998, 
"SuperFreakonomics: Global Cooling,Patriotic Prostitutes,and Why Suicide Bombers Should Buy Life Insurance",Steven D. Litt,[3.96](https://www.goodreads.com/book/show/6402364-superfreakonomics),2009, 
The Ten Faces of Innovation,Tom Kelley,[3.96](https://www.goodreads.com/book/show/95656.The_Ten_Faces_of_Innovation),2005, 
"Rich Dad Poor Dad : What The Rich Teach Their Kids About Money That The Poor And Middle Class Don't",Robert T. Kiyosaki,[3.95](https://www.goodreads.com/book/show/69571.Rich_Dad_Poor_Dad),1997, 
Founders At Work: Stories Of Startups Early Days,Jessica Livingston,[3.94](https://www.goodreads.com/book/show/98233.Founders_at_Work),2007, 
The Paypal Wars,Eric M. Jackson,[3.94](https://www.goodreads.com/book/show/4052.The_PayPal_Wars),2010, 
"Lean In : Women,Work and the Will to Lead",Sheryl Sandberg,[3.94](http://www.goodreads.com/book/show/16071764-lean-in),2013, 
ReWork: Change the Way You Work Forever,David Heinemeier Hansson,[3.93](https://www.goodreads.com/book/show/6732019-rework),2010, 
The 22 Immutable Laws Of Branding,Laura Ries and Al Ries,[3.93](https://www.goodreads.com/book/show/1565533.The_22_Immutable_Laws_of_Branding),1998, 
Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,"Steven D. Levitt,Stephen J. Dubner",[3.93](https://www.goodreads.com/book/show/1202.Freakonomics),2006, 
The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,[3.92](https://www.goodreads.com/book/show/2612.The_Tipping_Point),2002, 
The Four Steps to the Epiphany,Steve Blank,[3.92](https://www.goodreads.com/book/show/762542.The_Four_Steps_to_the_Epiphany),2005, 
The Curse of the Mogul,"Jonathan A. Knee,Bruce C. Greenwald,Ava Seave",[3.91](https://www.goodreads.com/book/show/7162410-the-curse-of-the-mogul),2009, 
"David and Goliath: Underdogs,Misfits,and the Art of Battling Giants",Malcolm Gladwell,[3.90](https://www.goodreads.com/book/show/15751404-david-and-goliath),2013, 
Strategy for Sustainability: A Business Manifesto,Adam Werbach,[3.89](https://www.goodreads.com/book/show/6553353-strategy-for-sustainability),2009, 
The Black Swan: The Impact of the Highly Improbable,Nassim Nicholas Taleb,[3.88](http://www.goodreads.com/book/show/242472.The_Black_Swan),2007, 
Contagious: Why Things Catch On,Jonah Berger,[3.88](https://www.goodreads.com/book/show/15801967-contagious),2013, 
"Who Says Elephants Can't Dance?: Leading a Great Enterprise through Dramatic Change","Louis V Gerstner,Jr",[3.88](https://www.goodreads.com/book/show/603985.Who_Says_Elephants_Can_t_Dance_),2003, 
Linchpin: Are You Indispensable,Seth Godin,[3.87](https://www.goodreads.com/book/show/7155145-linchpin),2010, 
"The $100 Startup: Reinvent the Way You Make a Living,Do What You Love,and Create a New Future",Chris Guillebeau,[3.85](https://www.goodreads.com/book/show/12605157-the-100-startup),2012, 
Too Big to Fail,Andrew Ross Sorkin,[3.85](https://www.goodreads.com/book/show/6687247-too-big-to-fail),2011, 
The Paradox of Choice: Why More Is Less,Barry Shwartz,[3.84](https://www.goodreads.com/book/show/10639.The_Paradox_of_Choice),2005, 
"The Art of the Start: The Time-Tested,Battle-Hardened Guide for Anyone Starting Anything",Guy Kawasaki,[3.82](https://www.goodreads.com/book/show/37875.The_Art_of_the_Start),2004, 
Crowdsourcing: Why the Power of the Crowd Is Driving the Future of Business,Jeff Howe,[3.82](https://www.goodreads.com/book/show/2601510-crowdsourcing),2008, 
Cognitive Surplus: Creativity and Generosity in a Connected Age,Clay Shirky,[3.82](https://www.goodreads.com/book/show/7614793-cognitive-surplus),2010, 
